Time (s),Current (A)
1.703125,-6.693881e-09
1.7041015625,-7.712515e-09
1.705078125,-4.656613e-09
1.7060546875,-8.731149e-09
1.70703125,-1.178705e-08
1.7080078125,-1.076842e-08
1.708984375,-5.675247e-09
1.7099609375,-6.693881e-09
1.7109375,4.365575e-10
1.7119140625,1.455192e-09
1.712890625,-1.600711e-09
1.7138671875,-3.637979e-09
1.71484375,-1.600711e-09
1.7158203125,-6.693881e-09
1.716796875,-2.619345e-09
1.7177734375,-8.731149e-09
1.71875,-6.693881e-09
1.7197265625,-4.656613e-09
1.720703125,4.365575e-10
1.7216796875,-5.820766e-10
1.72265625,3.49246e-09
1.7236328125,-5.675247e-09
1.724609375,-5.675247e-09
1.7255859375,-4.656613e-09
1.7265625,-3.637979e-09
1.7275390625,-4.656613e-09
1.728515625,-2.619345e-09
1.7294921875,-4.656613e-09
1.73046875,-1.178705e-08
1.7314453125,-7.712515e-09
1.732421875,-7.712515e-09
1.7333984375,-6.693881e-09
1.734375,-1.076842e-08
1.7353515625,-9.749783e-09
1.736328125,-7.712515e-09
1.7373046875,4.365575e-10
1.73828125,-4.656613e-09
1.7392578125,-1.600711e-09
1.740234375,-5.820766e-10
1.7412109375,-4.656613e-09
1.7421875,-4.656613e-09
1.7431640625,-4.656613e-09
1.744140625,-9.749783e-09
1.7451171875,-9.749783e-09
1.74609375,-6.693881e-09
1.7470703125,-1.600711e-09
1.748046875,-4.656613e-09
1.7490234375,-5.820766e-10
1.75,-1.600711e-09
1.7509765625,-4.656613e-09
1.751953125,-5.675247e-09
1.7529296875,-8.731149e-09
1.75390625,-9.749783e-09
1.7548828125,-9.749783e-09
1.755859375,-3.637979e-09
1.7568359375,-4.656613e-09
1.7578125,-3.637979e-09
1.7587890625,-5.675247e-09
1.759765625,-4.656613e-09
1.7607421875,-6.693881e-09
1.76171875,-4.656613e-09
1.7626953125,-8.731149e-09
1.763671875,-7.712515e-09
1.7646484375,-5.675247e-09
1.765625,-4.656613e-09
1.7666015625,2.473826e-09
1.767578125,-5.820766e-10
1.7685546875,-4.656613e-09
1.76953125,-4.656613e-09
1.7705078125,-7.712515e-09
1.771484375,-9.749783e-09
1.7724609375,-8.731149e-09
1.7734375,-6.693881e-09
1.7744140625,-4.656613e-09
1.775390625,-1.600711e-09
1.7763671875,2.473826e-09
1.77734375,-1.600711e-09
1.7783203125,-4.656613e-09
1.779296875,-9.749783e-09
1.7802734375,-1.484295e-08
1.78125,-2.619345e-09
1.7822265625,-5.675247e-09
1.783203125,-5.675247e-09
1.7841796875,-3.637979e-09
1.78515625,-6.693881e-09
1.7861328125,-4.656613e-09
1.787109375,-1.600711e-09
1.7880859375,-1.600711e-09
1.7890625,-1.280569e-08
1.7900390625,-1.076842e-08
1.791015625,-1.280569e-08
1.7919921875,-6.693881e-09
1.79296875,-3.637979e-09
1.7939453125,2.473826e-09
1.794921875,-5.820766e-10
1.7958984375,-4.656613e-09
1.796875,-7.712515e-09
1.7978515625,-1.600711e-09
1.798828125,-7.712515e-09
1.7998046875,-1.178705e-08
1.80078125,-4.656613e-09
1.8017578125,-4.656613e-09
1.802734375,-3.637979e-09
1.8037109375,3.49246e-09
1.8046875,-1.600711e-09
1.8056640625,-2.619345e-09
1.806640625,-8.731149e-09
1.8076171875,-7.712515e-09
1.80859375,-8.731149e-09
1.8095703125,-2.619345e-09
1.810546875,-1.600711e-09
1.8115234375,-6.693881e-09
1.8125,-5.675247e-09
1.8134765625,-4.656613e-09
1.814453125,-5.675247e-09
1.8154296875,-9.749783e-09
1.81640625,-8.731149e-09
1.8173828125,-6.693881e-09
1.818359375,-5.675247e-09
1.8193359375,-7.712515e-09
1.8203125,-4.656613e-09
1.8212890625,-4.656613e-09
1.822265625,-4.656613e-09
1.8232421875,-5.820766e-10
1.82421875,-1.600711e-09
1.8251953125,-8.731149e-09
1.826171875,-9.749783e-09
1.8271484375,-1.178705e-08
1.828125,-3.637979e-09
1.8291015625,-5.675247e-09
1.830078125,1.455192e-09
1.8310546875,4.365575e-10
1.83203125,5.529728e-09
1.8330078125,-1.600711e-09
1.833984375,-3.637979e-09
1.8349609375,-8.731149e-09
1.8359375,-6.693881e-09
1.8369140625,-2.619345e-09
1.837890625,-3.637979e-09
1.8388671875,-1.600711e-09
1.83984375,-6.693881e-09
1.8408203125,-6.693881e-09
1.841796875,-6.693881e-09
1.8427734375,-4.656613e-09
1.84375,-6.693881e-09
1.8447265625,-7.712515e-09
1.845703125,-4.656613e-09
1.8466796875,-9.749783e-09
1.84765625,-3.637979e-09
1.8486328125,-1.600711e-09
1.849609375,4.365575e-10
1.8505859375,-5.675247e-09
1.8515625,-4.656613e-09
1.8525390625,-6.693881e-09
1.853515625,-7.712515e-09
1.8544921875,-9.749783e-09
1.85546875,-6.693881e-09
1.8564453125,-7.712515e-09
1.857421875,-5.820766e-10
1.8583984375,3.49246e-09
1.859375,1.455192e-09
1.8603515625,-5.675247e-09
1.861328125,-1.600711e-09
1.8623046875,-7.712515e-09
1.86328125,-5.675247e-09
1.8642578125,-8.731149e-09
1.865234375,-2.619345e-09
1.8662109375,-1.600711e-09
1.8671875,-2.619345e-09
1.8681640625,-8.731149e-09
1.869140625,-6.693881e-09
1.8701171875,-6.693881e-09
1.87109375,-5.675247e-09
1.8720703125,-1.600711e-09
1.873046875,-1.076842e-08
1.8740234375,-6.693881e-09
1.875,-8.731149e-09
1.8759765625,4.365575e-10
1.876953125,-3.637979e-09
1.8779296875,-1.600711e-09
1.87890625,-3.637979e-09
1.8798828125,-5.675247e-09
1.880859375,-8.731149e-09
1.8818359375,-5.675247e-09
1.8828125,-8.731149e-09
1.8837890625,-4.656613e-09
1.884765625,-2.619345e-09
1.8857421875,-5.675247e-09
1.88671875,-2.619345e-09
1.8876953125,-4.656613e-09
1.888671875,4.365575e-10
1.8896484375,-4.656613e-09
1.890625,-4.656613e-09
1.8916015625,-7.712515e-09
1.892578125,-4.656613e-09
1.8935546875,-7.712515e-09
1.89453125,-6.693881e-09
1.8955078125,-8.731149e-09
1.896484375,-3.637979e-09
1.8974609375,-7.712515e-09
1.8984375,-6.693881e-09
1.8994140625,-6.693881e-09
1.900390625,-4.656613e-09
1.9013671875,-3.637979e-09
1.90234375,-3.637979e-09
1.9033203125,4.365575e-10
1.904296875,2.473826e-09
1.9052734375,-3.637979e-09
1.90625,-4.656613e-09
1.9072265625,-5.675247e-09
1.908203125,-4.656613e-09
1.9091796875,-5.675247e-09
1.91015625,-1.600711e-09
1.9111328125,-3.637979e-09
1.912109375,-7.712515e-09
